date,location_type,location_id,sku_id,on_hand_units,on_order_units,safety_stock_units,days_of_supply
2025-06-27,Store,STR-01,SKU-00003,78.2,0.0,31.1,7.6
2025-06-27,Store,STR-01,SKU-00007,161.5,0.0,86.4,5.6
2025-06-27,Store,STR-01,SKU-00001,81.1,0.0,41.0,5.9
2025-06-27,Store,STR-01,SKU-00004,75.0,0.0,36.0,6.3
2025-06-27,Store,STR-01,SKU-00015,143.5,0.0,57.9,7.4
2025-06-27,Store,STR-01,SKU-00023,149.2,0.0,52.0,8.6
2025-06-27,Store,STR-01,SKU-00024,141.4,0.0,49.8,8.5
2025-06-27,Store,STR-01,SKU-00008,98.8,0.0,35.5,8.3
2025-06-27,Store,STR-01,SKU-00010,53.8,0.0,25.4,6.3
2025-06-27,Store,STR-01,SKU-00002,179.5,0.0,73.8,7.3
2025-06-27,Store,STR-01,SKU-00009,85.2,0.0,35.3,7.2
2025-06-27,Store,STR-01,SKU-00020,59.1,0.0,22.3,8.0
2025-06-27,Store,STR-01,SKU-00021,32.3,0.0,10.9,8.9
2025-06-27,Store,STR-01,SKU-00014,79.3,0.0,42.4,5.6
2025-06-27,Store,STR-01,SKU-00019,137.2,0.0,52.0,7.9
2025-06-27,Store,STR-01,SKU-00018,184.6,0.0,64.6,8.6
2025-06-27,Store,STR-01,SKU-00022,67.6,0.0,25.2,8.0
2025-06-27,Store,STR-01,SKU-00011,21.7,0.0,9.5,6.8
2025-06-27,Store,STR-01,SKU-00013,76.8,0.0,41.6,5.5
2025-06-27,Store,STR-02,SKU-00020,76.4,0.0,28.7,8.0
2025-06-27,Store,STR-02,SKU-00010,38.1,0.0,14.5,7.9
2025-06-27,Store,STR-02,SKU-00015,82.3,0.0,45.0,5.5
2025-06-27,Store,STR-02,SKU-00018,98.6,0.0,49.8,5.9
2025-06-27,Store,STR-02,SKU-00002,173.2,0.0,71.5,7.3
2025-06-27,Store,STR-02,SKU-00011,19.8,0.0,10.8,5.5
2025-06-27,Store,STR-02,SKU-00003,80.1,59.9,49.4,4.9
2025-06-27,Store,STR-02,SKU-00014,158.5,0.0,61.2,7.8
2025-06-27,Store,STR-02,SKU-00008,103.1,0.0,47.1,6.6
2025-06-27,Store,STR-02,SKU-00012,32.0,0.0,13.3,7.2
2025-06-27,Store,STR-02,SKU-00016,39.2,0.0,15.1,7.8
2025-06-27,Store,STR-02,SKU-00009,133.5,0.0,57.5,7.0
2025-06-27,Store,STR-02,SKU-00023,108.0,0.0,52.2,6.2
2025-06-27,Store,STR-02,SKU-00019,93.1,0.0,41.8,6.7
2025-06-27,Store,STR-02,SKU-00024,62.1,0.0,35.3,5.3
2025-06-27,Store,STR-02,SKU-00007,146.0,0.0,67.1,6.5
2025-06-27,Store,STR-02,SKU-00006,64.7,0.0,23.1,8.4
2025-06-27,Store,STR-02,SKU-00013,96.8,0.0,50.7,5.7
2025-06-27,Store,STR-02,SKU-00022,59.1,0.0,24.4,7.3
2025-06-27,Store,STR-03,SKU-00018,104.3,0.0,40.7,7.7
2025-06-27,Store,STR-03,SKU-00019,133.0,0.0,67.3,5.9
2025-06-27,Store,STR-03,SKU-00008,144.9,0.0,74.0,5.9
2025-06-27,Store,STR-03,SKU-00016,59.9,0.0,30.0,6.0
2025-06-27,Store,STR-03,SKU-00001,114.4,0.0,57.4,6.0
2025-06-27,Store,STR-03,SKU-00021,29.3,0.0,12.2,7.2
2025-06-27,Store,STR-03,SKU-00013,171.3,0.0,67.7,7.6
2025-06-27,Store,STR-03,SKU-00004,35.6,0.0,16.7,6.4
2025-06-27,Store,STR-03,SKU-00017,169.5,0.0,69.5,7.3
2025-06-27,Store,STR-03,SKU-00005,30.4,0.0,12.1,7.5
2025-06-27,Store,STR-03,SKU-00006,45.5,0.0,26.1,5.2
2025-06-27,Store,STR-03,SKU-00020,74.8,0.0,25.1,8.9
2025-06-27,Store,STR-03,SKU-00015,65.7,0.0,35.7,5.5
2025-06-27,Store,STR-03,SKU-00009,82.9,0.0,35.7,7.0
2025-06-27,Store,STR-03,SKU-00023,74.1,0.0,35.4,6.3
2025-06-27,Store,STR-03,SKU-00002,90.3,0.0,37.3,7.3
2025-06-27,Store,STR-03,SKU-00007,160.4,0.0,57.1,8.4
2025-06-27,Store,STR-03,SKU-00010,39.5,0.0,20.6,5.8
2025-06-27,Store,STR-03,SKU-00011,47.8,0.0,17.2,8.4
2025-06-27,Store,STR-04,SKU-00015,46.1,0.0,17.4,7.9
2025-06-27,Store,STR-04,SKU-00003,57.1,0.0,26.1,6.6
2025-06-27,Store,STR-04,SKU-00004,23.4,0.0,9.3,7.5
2025-06-27,Store,STR-04,SKU-00013,104.3,0.0,41.7,7.5
2025-06-27,Store,STR-04,SKU-00014,35.0,25.0,21.2,5.0
2025-06-27,Store,STR-04,SKU-00011,17.8,0.0,8.0,6.7
2025-06-27,Store,STR-04,SKU-00020,39.7,0.0,16.8,7.1
2025-06-27,Store,STR-04,SKU-00007,73.6,0.0,33.6,6.6
2025-06-27,Store,STR-04,SKU-00018,123.8,0.0,48.3,7.7
2025-06-27,Store,STR-04,SKU-00021,29.0,0.0,12.8,6.8
2025-06-27,Store,STR-04,SKU-00001,71.6,0.0,36.3,5.9
2025-06-27,Store,STR-04,SKU-00010,33.4,0.0,17.6,5.7
2025-06-27,Store,STR-04,SKU-00022,44.3,0.0,16.6,8.0
2025-06-27,Store,STR-04,SKU-00006,39.2,0.0,21.3,5.5
2025-06-27,Store,STR-04,SKU-00017,66.3,0.0,32.2,6.2
2025-06-27,Store,STR-04,SKU-00009,75.5,0.0,37.8,6.0
2025-06-27,Store,STR-04,SKU-00012,18.9,13.4,11.4,5.0
2025-06-27,Store,STR-04,SKU-00016,17.5,0.0,10.0,5.3
2025-06-27,Store,STR-04,SKU-00005,13.9,0.0,8.3,5.0
2025-06-27,Store,STR-05,SKU-00005,34.8,0.0,12.4,8.5
2025-06-27,Store,STR-05,SKU-00024,82.8,0.0,48.8,5.1
2025-06-27,Store,STR-05,SKU-00004,46.9,0.0,18.2,7.7
2025-06-27,Store,STR-05,SKU-00021,34.0,0.0,17.9,5.7
2025-06-27,Store,STR-05,SKU-00002,152.6,0.0,61.7,7.4
2025-06-27,Store,STR-05,SKU-00018,74.7,0.0,28.4,7.9
2025-06-27,Store,STR-05,SKU-00020,57.4,0.0,26.2,6.6
2025-06-27,Store,STR-05,SKU-00014,105.8,0.0,42.1,7.5
2025-06-27,Store,STR-05,SKU-00010,84.2,0.0,29.8,8.5
2025-06-27,Store,STR-05,SKU-00001,90.6,0.0,43.0,6.3
2025-06-27,Store,STR-05,SKU-00019,53.3,0.0,22.9,7.0
2025-06-27,Store,STR-05,SKU-00015,122.0,0.0,45.8,8.0
2025-06-27,Store,STR-05,SKU-00011,25.0,23.3,17.0,4.4
2025-06-27,Store,STR-05,SKU-00016,33.6,0.0,13.5,7.4
2025-06-27,Store,STR-05,SKU-00013,93.3,0.0,40.1,7.0
2025-06-27,Store,STR-05,SKU-00008,121.8,0.0,55.8,6.5
2025-06-27,Store,STR-05,SKU-00006,49.7,0.0,26.1,5.7
2025-06-27,Store,STR-05,SKU-00017,141.1,0.0,48.4,8.7
2025-06-27,Store,STR-05,SKU-00003,95.8,0.0,43.9,6.5
2025-06-27,Store,STR-06,SKU-00011,28.0,0.0,11.6,7.2
2025-06-27,Store,STR-06,SKU-00015,48.1,0.0,22.3,6.5
2025-06-27,Store,STR-06,SKU-00014,106.0,0.0,42.3,7.5
2025-06-27,Store,STR-06,SKU-00017,118.1,0.0,47.1,7.5
2025-06-27,Store,STR-06,SKU-00006,30.2,0.0,17.5,5.2
2025-06-27,Store,STR-06,SKU-00004,43.6,0.0,16.9,7.7
2025-06-27,Store,STR-06,SKU-00022,42.2,41.9,29.7,4.3
2025-06-27,Store,STR-06,SKU-00005,16.1,0.0,8.2,5.9
2025-06-27,Store,STR-06,SKU-00024,66.4,0.0,30.7,6.5
2025-06-27,Store,STR-06,SKU-00020,29.0,0.0,12.7,6.8
2025-06-27,Store,STR-06,SKU-00003,90.3,0.0,35.5,7.6
2025-06-27,Store,STR-06,SKU-00023,70.7,0.0,33.0,6.4
2025-06-27,Store,STR-06,SKU-00010,30.2,0.0,16.5,5.5
2025-06-27,Store,STR-06,SKU-00021,16.4,0.0,9.4,5.2
2025-06-27,Store,STR-06,SKU-00018,57.7,0.0,24.3,7.1
2025-06-27,Store,STR-06,SKU-00002,84.0,0.0,33.7,7.5
2025-06-27,Store,STR-06,SKU-00019,61.7,0.0,24.7,7.5
2025-06-27,Store,STR-06,SKU-00009,79.3,0.0,29.9,8.0
2025-06-27,Store,STR-06,SKU-00001,99.2,0.0,43.7,6.8
2025-06-27,Store,STR-07,SKU-00014,51.1,0.0,28.9,5.3
2025-06-27,Store,STR-07,SKU-00022,39.9,0.0,21.0,5.7
2025-06-27,Store,STR-07,SKU-00005,29.0,0.0,14.9,5.9
2025-06-27,Store,STR-07,SKU-00012,61.5,0.0,29.5,6.3
2025-06-27,Store,STR-07,SKU-00013,123.9,0.0,63.7,5.8
2025-06-27,Store,STR-07,SKU-00019,79.7,0.0,30.7,7.8
2025-06-27,Store,STR-07,SKU-00016,41.3,0.0,17.4,7.1
2025-06-27,Store,STR-07,SKU-00010,28.4,30.2,20.7,4.1
2025-06-27,Store,STR-07,SKU-00021,26.1,0.0,13.7,5.7
2025-06-27,Store,STR-07,SKU-00004,32.3,0.0,14.9,6.5
2025-06-27,Store,STR-07,SKU-00007,143.7,0.0,52.0,8.3
2025-06-27,Store,STR-07,SKU-00018,129.1,0.0,49.2,7.9
2025-06-27,Store,STR-07,SKU-00002,94.9,0.0,34.7,8.2
2025-06-27,Store,STR-07,SKU-00023,145.7,0.0,61.7,7.1
2025-06-27,Store,STR-07,SKU-00008,130.1,0.0,46.2,8.4
2025-06-27,Store,STR-07,SKU-00006,59.4,0.0,27.8,6.4
2025-06-27,Store,STR-07,SKU-00017,112.2,0.0,51.7,6.5
2025-06-27,Store,STR-07,SKU-00020,63.9,0.0,29.5,6.5
2025-06-27,Store,STR-07,SKU-00003,103.9,0.0,42.3,7.4
2025-06-27,Store,STR-08,SKU-00009,29.9,0.0,17.4,5.1
2025-06-27,Store,STR-08,SKU-00014,33.6,0.0,19.3,5.2
2025-06-27,Store,STR-08,SKU-00006,20.8,0.0,8.3,7.5
2025-06-27,Store,STR-08,SKU-00001,41.9,0.0,20.9,6.0
2025-06-27,Store,STR-08,SKU-00020,14.9,0.0,5.7,7.8
2025-06-27,Store,STR-08,SKU-00021,15.1,0.0,8.5,5.3
2025-06-27,Store,STR-08,SKU-00011,18.1,0.0,6.1,8.9
2025-06-27,Store,STR-08,SKU-00018,30.8,0.0,13.3,6.9
2025-06-27,Store,STR-08,SKU-00023,47.3,0.0,28.4,5.0
2025-06-27,Store,STR-08,SKU-00019,33.7,0.0,13.8,7.3
2025-06-27,Store,STR-08,SKU-00017,65.7,0.0,24.8,7.9
2025-06-27,Store,STR-08,SKU-00004,7.9,0.0,4.4,5.5
2025-06-27,Store,STR-08,SKU-00010,25.4,0.0,9.2,8.3
2025-06-27,Store,STR-08,SKU-00013,65.7,0.0,21.8,9.0
2025-06-27,Store,STR-08,SKU-00002,24.4,0.0,13.0,5.6
2025-06-27,Store,STR-08,SKU-00012,27.3,0.0,9.7,8.4
2025-06-27,Store,STR-08,SKU-00015,38.5,0.0,21.7,5.3
2025-06-27,Store,STR-08,SKU-00024,37.3,0.0,14.1,7.9
2025-06-27,Store,STR-08,SKU-00005,9.5,0.0,4.6,6.2
2025-06-27,Warehouse,WH-NSW,SKU-00001,360.3,0.0,72.8,24.8
2025-06-27,Warehouse,WH-NSW,SKU-00002,900.3,0.0,175.3,25.7
2025-06-27,Warehouse,WH-NSW,SKU-00003,389.4,0.0,141.5,13.8
2025-06-27,Warehouse,WH-NSW,SKU-00004,218.8,0.0,28.2,38.8
2025-06-27,Warehouse,WH-NSW,SKU-00005,88.4,0.0,13.7,32.3
2025-06-27,Warehouse,WH-NSW,SKU-00006,313.1,0.0,67.7,23.1
2025-06-27,Warehouse,WH-NSW,SKU-00007,435.9,0.0,111.9,19.5
2025-06-27,Warehouse,WH-NSW,SKU-00008,324.3,0.0,78.5,20.6
2025-06-27,Warehouse,WH-NSW,SKU-00009,463.3,0.0,145.6,15.9
2025-06-27,Warehouse,WH-NSW,SKU-00010,406.2,0.0,51.7,39.3
2025-06-27,Warehouse,WH-NSW,SKU-00011,305.6,0.0,37.5,40.8
2025-06-27,Warehouse,WH-NSW,SKU-00012,75.2,0.0,22.2,16.9
2025-06-27,Warehouse,WH-NSW,SKU-00013,428.2,0.0,84.5,25.3
2025-06-27,Warehouse,WH-NSW,SKU-00014,823.6,0.0,172.4,23.9
2025-06-27,Warehouse,WH-NSW,SKU-00015,328.4,0.0,112.1,14.6
2025-06-27,Warehouse,WH-NSW,SKU-00016,215.8,0.0,25.2,42.8
2025-06-27,Warehouse,WH-NSW,SKU-00017,317.0,0.0,78.4,20.2
2025-06-27,Warehouse,WH-NSW,SKU-00018,615.5,0.0,123.6,24.9
2025-06-27,Warehouse,WH-NSW,SKU-00019,321.1,0.0,110.8,14.5
2025-06-27,Warehouse,WH-NSW,SKU-00020,589.2,0.0,69.1,42.6
2025-06-27,Warehouse,WH-NSW,SKU-00021,128.0,0.0,15.7,40.8
2025-06-27,Warehouse,WH-NSW,SKU-00022,341.5,0.0,90.2,18.9
2025-06-27,Warehouse,WH-NSW,SKU-00023,494.2,0.0,142.0,17.4
2025-06-27,Warehouse,WH-NSW,SKU-00024,435.2,0.0,110.1,19.8
2025-06-27,Warehouse,WH-QLD,SKU-00001,484.8,0.0,95.6,25.3
