store_id,sku_id,category,region,store_format,week,units_sold,revenue,promo_flag,unit_price,avg_temp_c,precipitation_mm,holiday_count,week_of_year,month,week_sin,week_cos,lag_1,lag_2,lag_4,rolling_mean_4,rolling_std_4,store_format_enc,category_enc,combo_mean_hist,forecast_units_advanced,forecast_units_baseline
STR-01,SKU-00001,Beverages,VIC,Metro,2026-06-08,66,212.52,False,3.22,8.614285714285714,2.6,1.0,24,6,0.23931566428755768,-0.970941817426052,65.0,76.0,84.0,74.25,7.932002689527235,1.0,0.0,105.3913043478261,71.80669651548807,74.25
STR-01,SKU-00001,Beverages,VIC,Metro,2026-06-15,58,186.76,False,3.22,7.214285714285714,3.1714285714285713,0.0,25,6,0.12053668025532308,-0.992708874098054,66.0,65.0,72.0,69.75,5.188127472091187,1.0,0.0,105.3913043478261,65.39289742866292,69.75
STR-01,SKU-00001,Beverages,VIC,Metro,2026-06-22,55,177.10000000000002,False,3.22,7.257142857142857,2.6571428571428575,0.0,26,6,-3.216245299353273e-16,-1.0,58.0,66.0,76.0,66.25,7.410578025138612,1.0,0.0,105.3913043478261,61.508107576331355,66.25
STR-01,SKU-00001,Beverages,VIC,Metro,2026-06-29,56,180.32,False,3.22,7.6000000000000005,2.8857142857142857,0.0,27,6,-0.12053668025532283,-0.992708874098054,55.0,58.0,65.0,61.0,5.354126134736395,1.0,0.0,105.3913043478261,59.1461647276307,61.0
STR-01,SKU-00001,Beverages,VIC,Metro,2026-07-06,51,164.22,False,3.22,6.385714285714286,2.3714285714285714,0.0,28,7,-0.23931566428755743,-0.9709418174260521,56.0,55.0,66.0,58.75,4.991659710624041,1.0,0.0,105.3913043478261,57.848140467781604,58.75
STR-01,SKU-00001,Beverages,VIC,Metro,2026-07-13,54,173.88,False,3.22,6.971428571428571,1.9000000000000001,0.0,29,7,-0.3546048870425356,-0.9350162426854148,51.0,56.0,58.0,55.0,2.943920288776056,1.0,0.0,105.3913043478261,54.16493884401814,55.0
STR-01,SKU-00001,Beverages,VIC,Metro,2026-07-20,59,189.98000000000002,False,3.22,6.814285714285715,1.8,0.0,30,7,-0.46472317204376806,-0.8854560256532101,54.0,51.0,55.0,54.0,2.1602468994694326,1.0,0.0,105.3913043478261,56.4613390565964,54.0
STR-01,SKU-00001,Beverages,VIC,Metro,2026-07-27,36,115.92,False,3.22,6.28,2.2800000000000002,0.0,31,7,-0.5680647467311556,-0.8229838658936565,59.0,54.0,56.0,55.0,3.3665016461207866,1.0,0.0,105.3913043478261,55.565774336507054,55.0
STR-01,SKU-00002,Snacks,VIC,Metro,2026-06-08,173,558.79,False,3.23,8.614285714285714,2.6,1.0,24,6,0.23931566428755768,-0.970941817426052,156.0,171.0,175.0,167.0,8.205689083394088,1.0,5.0,189.80434782608697,164.39678794963828,167.0
STR-01,SKU-00002,Snacks,VIC,Metro,2026-06-15,165,532.95,False,3.23,7.214285714285714,3.1714285714285713,0.0,25,6,0.12053668025532308,-0.992708874098054,173.0,156.0,166.0,166.5,7.593857166596316,1.0,5.0,189.80434782608697,158.9371053381869,166.5
